"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","OriginalResult","OriginalDetails","Comments","ResolutionDate","Non-Compliance Reason","Remediation Completion Date","Justification"
"MS.AAD.7.1v1","A minimum of two users and a maximum of eight users SHALL be provisioned with the Global Administrator role.","Fail","Shall","1 global admin(s) found: Stephane EWERLING","N/A","N/A","N/A","N/A","Fail","1 global admin(s) found:<br/>Stephane EWERLING","System.Object[]",," "," "," "
"MS.AAD.7.2v1","Privileged users SHALL be provisioned with finer-grained roles instead of Global Administrator.","Fail","Shall","Requirement not met: Policy MS.AAD.7.1 failed so score not computed","N/A","N/A","N/A","N/A","Fail","Requirement not met: Policy MS.AAD.7.1 failed so score not computed","System.Object[]",," "," "," "
"MS.AAD.7.4v1","Permanent active role assignments SHALL NOT be allowed for highly privileged roles.","Fail","Shall","1 role(s) that contain users with permanent active assignment: Global Administrator","N/A","N/A","N/A","N/A","Fail","1 role(s) that contain users with permanent active assignment:<br/>Global Administrator","System.Object[]",," "," "," "
"MS.AAD.7.5v1","Provisioning users to highly privileged roles SHALL NOT occur outside of a PAM system.","Fail","Shall","1 role(s) assigned to users outside of PIM: Global Administrator","N/A","N/A","N/A","N/A","Fail","1 role(s) assigned to users outside of PIM:<br/>Global Administrator","System.Object[]",," "," "," "
"MS.AAD.7.6v1","Activation of the Global Administrator role SHALL require approval.","Fail","Shall","1 role(s) or group(s) allowing activation without approval found: Global Administrator(Directory Role)","N/A","N/A","N/A","N/A","Fail","1 role(s) or group(s) allowing activation without approval found:<br/>Global Administrator(Directory Role)","System.Object[]",," "," "," "
"MS.AAD.7.7v1","Eligible and active highly privileged role assignments SHALL trigger an alert.","Fail","Shall","8 role(s) or group(s) without notification e-mail configured for role assignments found: Application Administrator(Directory Role), Cloud Application Administrator(Directory Role), Exchange Administrator(Directory Role), Global Administrator(Directory Role), Hybrid Identity Administrator(Directory Role), Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role), User Administrator(Directory Role)","N/A","N/A","N/A","N/A","Fail","8 role(s) or group(s) without notification e-mail configured for role assignments found:<br/>Application Administrator(Directory Role), Cloud Application Administrator(Directory Role), Exchange Administrator(Directory Role), Global Administrator(Directory Role), Hybrid Identity Administrator(Directory Role), Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role), User Administrator(Directory Role)","System.Object[]",," "," "," "
"MS.AAD.7.8v1","User activation of the Global Administrator role SHALL trigger an alert.","Fail","Shall","1 role(s) or group(s) without notification e-mail configured for Global Administrator activations found: Global Administrator(Directory Role)","N/A","N/A","N/A","N/A","Fail","1 role(s) or group(s) without notification e-mail configured for Global Administrator activations found:<br/>Global Administrator(Directory Role)","System.Object[]",," "," "," "
"MS.TEAMS.2.1v2","External access for users SHALL only be enabled on a per-domain basis.","Fail","Shall","1 meeting policy(ies) that allow external access across all domains: Global","N/A","N/A","N/A","N/A","Fail","1 meeting policy(ies) that allow external access across all domains: Global","System.Object[]",," "," "," "
"MS.TEAMS.2.2v2","Unmanaged users SHALL NOT be enabled to initiate contact with internal users.","Fail","Shall","1 Configuration allowed unmanaged users to initiate contact with internal user across domains: Global","N/A","N/A","N/A","N/A","Fail","1 Configuration allowed unmanaged users to initiate contact with internal user across domains: Global","System.Object[]",," "," "," "
"MS.TEAMS.4.1v1","Teams email integration SHALL be disabled.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A","Fail","Requirement not met","System.Object[]",," "," "," "
